business_id,name,latitude,longitude
4944,FRENCH BAKERY,37.7429,-122.478
20116,Sushi Zen,37.7429,-122.477
33936,"Fresh Green, Inc",37.7429,-122.396
64846,Taraval Pizza,37.7429,-122.478
65115,One Boiling Pot,37.7429,-122.479
71362,Antigua Coffee Shop,37.7429,-122.479
3029,TENNESSEE GRILL INC,37.743,-122.478
3869,SAFEWAY #739,37.743,-122.422
28976,AFC Sushi @Safeway 739,37.743,-122.422
59407,Parkside Quickly,37.743,-122.478
70929,Linda's Deli,37.743,-122.477
2293,GOLD MIRROR ITALIAN RESTAURANT,37.7431,-122.475
6816,STOP & SAVE,37.7431,-122.474
62770,Parkside Shell,37.7431,-122.476
67500,Tonight Restaurant,37.7431,-122.474
68832,Bayshore Market Deli & Liquor,37.7431,-122.405
3870,LA ALTENA,37.7432,-122.422
4844,SAFEWAY #909,37.7432,-122.474
6913,XTRA OIL CORP,37.7432,-122.388
7834,WASHINGTON VEGETABLE CO,37.7432,-122.398
65014,The Old Clam House,37.7432,-122.405
4627,Guerra Quality Meats,37.7433,-122.471
5025,PIZZA HUT,37.7433,-122.421
36022,Wok In Chinese American Food,37.7434,-122.384
39888,Henry's Hunan Restaurant,37.7434,-122.427
2363,Jenny & Jesse Restaurant,37.7435,-122.421
3871,CORONITAS,37.7435,-122.421
62176,J & V Catering,37.7435,-122.397
2664,Alice's Restaurant,37.7436,-122.429
2984,PLAYA AZUL SEAFOOD REST. & BAR,37.7436,-122.421
34865,Regent Thai Restaurant,37.7436,-122.427
58731,North Bay Produce Co. Inc.,37.7436,-122.398
61604,Yuet Cheong Produce Co. Inc.,37.7436,-122.397
32200,El Gran Taco Loco,37.7438,-122.421
21807,The Front Porch,37.7439,-122.422
60210,Cafe Seventy 8,37.744,-122.422
3819,SAFEWAY #667,37.7441,-122.439
4294,MIRALOMA CLUB,37.7441,-122.454
4378,3300 CLUB,37.7441,-122.421
5032,MITCHELLS ICE CREAM,37.7441,-122.423
15307,Earl's Organic Produce,37.7441,-122.399
17346,AFC Sushi @ Safeway #667,37.7441,-122.439
68089,Burger King 5830,37.7441,-122.404
68159,Tower Burger,37.7441,-122.454
3678,ROUND TABLE PIZZA,37.7442,-122.453
65852,Al's Super Cafe,37.7443,-122.421
10376,Good Frikin Chicken,37.7444,-122.421
18136,DJ Liquor & Grocery Store,37.7444,-122.421
28035,Choice Yakiniku,37.7444,-122.439
59124,NOETECA,37.7445,-122.424
60615,Greenleaf/Greenleaf Produce,37.7445,-122.398
68400,Miraloma Liquors,37.7445,-122.453
1337,SAN MIGUEL RESTAURANT #2,37.7447,-122.42
1486,STARBUCKS COFFEE,37.7447,-122.453
61697,Pad Thai Restaurant,37.7447,-122.42
3677,Mollie Stone's Tower Market,37.7449,-122.452
3971,Lucitas Niteclub,37.7449,-122.42
4372,CLUB PUERTORRIQUENO OF SF INC.,37.7449,-122.42
68257,AFC SUSHI at Mollie Stone's #10,37.7449,-122.452
7598,BEVERAGES & MORE,37.745,-122.404
2653,Mi Lindo Peru',37.7451,-122.42
2689,THE BLUE PLATE,37.7452,-122.42
7708,SUN VALLEY,37.7452,-122.427
18815,Lotus Garden Vietnamese Cuisine,37.7452,-122.42
4379,The Knockout,37.7453,-122.42
2749,TAQUERIA CANCUN,37.7454,-122.42
64881,New Alternatives,37.7454,-122.422
2690,LOS PANCHOS,37.7455,-122.42
3414,TASTE CATERING,37.7456,-122.387
7197,TWIN PEAKS AUTO CARE,37.7456,-122.452
65023,The Royal Cuckoo,37.7456,-122.42
3911,BURGER KING,37.7458,-122.42
64007,Oakes Children's Center,37.7459,-122.413
1641,MARTHA & BROS. COFFEE CO,37.746,-122.427
7837,KIEM'S PRODUCE,37.7463,-122.401
61187,The Deli Lama,37.7463,-122.397
6880,CHEVRON SS #9-0683,37.7464,-122.404
69909,T & L Liquor Store Inc.,37.7465,-122.419
19175,"El Rio, Your Dive",37.7467,-122.419
67749,Harvest Hills Market,37.7467,-122.414
2684,ERIC'S RESTAURANT,37.7468,-122.427
39398,Baby Blues BBQ San Francisco Inc,37.747,-122.419
66612,Kama Sushi,37.747,-122.427
71761,Roccaupulco Supper Club,37.747,-122.419
45,CHARLIE'S DELI CAFE,37.7471,-122.414
67895,Precita Park Cafe,37.7471,-122.41
5915,ST. ANTHONY'S ELEMENTARY,37.7472,-122.414
69324,Las Brisas,37.7472,-122.419
71476,Chou Chou Bakery Bistro,37.7472,-122.459
16424,Sam's Market,37.7475,-122.41
65291,CMPC - St. Lukes Cafeteria,37.748,-122.421
6156,A-G PHARMACY,37.7481,-122.422
12285,Peet's Coffee Kiosk,37.7481,-122.42
4978,Angel's Market,37.7482,-122.434
62048,Walgreens #09886,37.7482,-122.418
69013,Tacos El Paisano,37.7482,-122.42
63016,Spin City Coffee Bar,37.7485,-122.429
66173,Luv a Java,37.7486,-122.425
60356,"26th & Guerrero, Inc.",37.7488,-122.423
63763,Wild Pepper,37.7488,-122.422
64648,26 Mix,37.7488,-122.418
1005,CHAVITA'S MEXICAN RESTAURANT,37.7489,-122.418
4881,STOP N SHOP,37.7489,-122.418
38447,My Corner Cafe Inc,37.749,-122.416
64722,Dovre Club Inc.,37.749,-122.42
1003,RINCON PERUANO RESTAURANT,37.7491,-122.417
39476,Save Way Market,37.7491,-122.417
33700,Casa Guadalupe #3,37.7492,-122.418
68537,Vic's Grocery and Liquor,37.7492,-122.416
69792,Samiramis Imports,37.7492,-122.418
71174,Old Jerusalem Restaurant Inc,37.7493,-122.418
4920,A B C MARKET,37.7496,-122.409
5966,St. Ignatius,37.7496,-122.496
36589,Catering With Style,37.7496,-122.409
59036,Casa De Case,37.7496,-122.4
68172,Bob's Grill & Grocery,37.7496,-122.412
16329,Oscar Burger & Deli,37.7498,-122.396
